gene,log2FC,padj
E00007,4.2824 ,0.0000 
E00008,-1.1036 ,0.4765 
E00009,-0.2744 ,1.0000 
E00010,4.6235 ,0.0000 
E00012,0.9740 ,0.4830 
E00017,-1.3021 ,0.0006 
E00024,0.6176 ,0.0000 
E00033,1.4867 ,0.0000 
E00034,-0.7837 ,0.0034 
E00036,2.0159 ,0.0000 
E00040,-1.8966 ,0.0000 
E00041,-0.2682 ,0.5634 
E00042,0.0861 ,0.3677 
E00043,-1.1933 ,0.0000 
E00044,-0.8880 ,0.0000 
E00047,-0.6109 ,0.0000 
E00048,-0.5444 ,0.0000 
E00054,0.3737 ,0.0000 
E00060,3.2273 ,0.0000 
E00062,1.2654 ,0.0000 
E00064,-0.4014 ,0.0000 
E00065,-0.9059 ,0.6410 
E00066,-0.4127 ,0.0000 
E00068,-0.4886 ,0.0000 
E00073,0.1447 ,0.1085 
E00075,0.4753 ,0.0000 
E00127,-0.1628 ,0.0069 
E00129,1.9663 ,0.0000 
E00130,1.7085 ,0.0000 
E00133,-0.1660 ,0.0200 
E00137,1.4267 ,0.0000 
E00138,-0.9912 ,0.0042 
E00142,-1.2923 ,0.0000 
E00145,0.6082 ,0.0000 
E00150,-0.7298 ,0.0000 
E00151,-1.1184 ,0.0002 
E00155,-0.6344 ,0.0000 
E00156,-2.6913 ,0.0000 
E00157,-0.1935 ,0.0002 
E00158,1.1419 ,0.0000 
E00161,0.3804 ,0.0000 
E00164,-0.6906 ,0.0000 
E00165,-0.8993 ,0.0467 
E00166,0.0826 ,0.6792 
E00168,-0.2348 ,0.0000 
E00169,-0.7298 ,0.0000 
E00170,-0.6837 ,0.0000 
E00172,-1.7778 ,0.0000 
E00175,-0.6038 ,0.0000 
E00177,-4.1564 ,0.0000 
E00184,-0.9017 ,0.5038 
E00185,0.0352 ,0.6833 
E00186,-0.0788 ,0.4823 
E00187,1.7449 ,0.0000 
E00190,-0.8928 ,0.0000 
E00195,-0.7188 ,0.0000 
E00196,0.8366 ,0.6844 
E00199,-0.6534 ,0.8477 
E00201,-0.4220 ,0.9517 
E00204,0.6563 ,0.0000 
E00219,-0.7385 ,0.0000 
E00221,-0.8457 ,0.0000 
E00230,-0.3691 ,0.0003 
E00231,0.0969 ,0.1536 
E00233,4.0312 ,0.0000 
E00236,0.4117 ,0.0000 
E00237,0.3378 ,0.0128 
E00239,-0.6342 ,0.0000 
E00244,1.0741 ,0.0000 
E00245,-2.3477 ,0.0000 
E00246,1.3847 ,0.0000 
E00247,-0.2330 ,0.0099 
E00248,-0.6980 ,0.0000 
E00249,-0.1844 ,0.4445 
E00250,0.1845 ,0.0251 
E00257,1.5168 ,0.0000 
E00258,0.0371 ,0.6818 
E00262,1.1171 ,0.0000 
E00264,-0.1658 ,0.0631 
E00274,0.8257 ,0.0000 
E00275,3.1823 ,0.0000 
E00277,0.0981 ,0.7201 
E00279,-0.1260 ,0.3629 
E00281,0.1834 ,0.5469 
E00283,0.6605 ,0.0000 
E00288,-2.5938 ,0.0000 
E00299,-0.3031 ,0.0022 
E00302,1.6245 ,0.0000 
E00303,1.1060 ,0.0000 
E00304,-1.1960 ,0.0000 
E00306,-0.2895 ,0.0320 
E00307,-0.9735 ,0.0000 
E00308,-0.5291 ,0.0001 
E00312,0.1681 ,0.0402 
E00314,-0.1909 ,0.0000 
E00316,2.2508 ,0.0000 
E00320,0.2880 ,0.9187 
E00321,1.6602 ,0.0000 
E00322,0.2037 ,0.0065 
E00323,0.3085 ,0.0777 
E00327,-0.4770 ,0.0000 
E00335,1.7340 ,0.0936 
E00340,0.6575 ,0.0000 
E00341,-1.9858 ,0.0000 
E00368,1.0569 ,0.0000 
E00373,1.7191 ,0.0945 
E00376,-0.0196 ,0.9617 
E00383,-0.8101 ,0.6334 
E00384,1.1048 ,0.4078 
E00386,-0.9854 ,0.4080 
E00387,-0.4142 ,0.0000 
E00390,-0.3712 ,1.0000 
E00392,-0.3627 ,0.0000 
E00394,-1.6860 ,0.0000 
E00395,0.1491 ,0.0152 
E00396,-0.0484 ,0.4423 
E00397,0.5100 ,0.0000 
E00398,-0.0404 ,0.7539 
E00407,-0.7075 ,0.0000 
E00408,0.5222 ,0.0000 
E00410,0.1657 ,1.0000 
E00411,-0.4574 ,0.0000 
E00412,0.9337 ,0.0000 
E00413,-1.6509 ,0.0032 
E00414,-0.1040 ,0.5708 
E00415,-0.3457 ,0.0000 
E00417,0.0273 ,0.4490 
E00418,0.7640 ,0.0000 
E00420,0.1985 ,0.0030 
E00421,-1.0016 ,0.0000 
E00422,-0.1457 ,0.3254 
E00428,-0.3712 ,1.0000 
E00431,-0.2865 ,0.0000 
E00432,1.0002 ,0.0000 
E00433,1.5207 ,0.0000 
E00435,-0.5358 ,0.0000 
E00436,-1.3239 ,0.0000 
E00437,0.1341 ,0.0054 
E00438,0.4234 ,0.0000 
E00439,-1.5535 ,0.0000 
E00440,-0.2987 ,0.0000 
E00441,0.3952 ,0.0363 
E00442,-3.2534 ,0.0000 
E00443,-0.1236 ,1.0000 
E00451,-2.3646 ,0.0000 
E00454,1.1199 ,0.0419 
E00455,-0.4226 ,0.9518 
E00456,0.4893 ,0.0001 
E00457,-1.2368 ,0.0000 
E00459,0.1192 ,0.3966 
E00461,-0.4723 ,0.6870 
E00463,-1.8998 ,0.0000 
E00464,0.1465 ,0.0313 
E00465,-0.0320 ,0.5068 
E00466,0.1847 ,0.0474 
E00467,-0.1465 ,0.0475 
E00470,-0.3175 ,0.0000 
E00471,-0.3288 ,0.1514 
E00473,0.1649 ,0.0022 
E00474,-0.6473 ,0.0000 
E00476,-0.0442 ,0.5941 
E00477,0.4356 ,0.0000 
E00479,0.7100 ,0.0000 
E00480,-0.2589 ,0.0005 
E00481,-0.1347 ,0.0737 
E00483,0.8662 ,0.0000 
E00485,0.4276 ,0.0000 
E00486,-0.1091 ,0.9541 
E00487,1.7924 ,0.0000 
E00488,0.6173 ,0.0000 
E00490,-0.9741 ,0.0000 
E00491,0.6938 ,0.5399 
E00493,0.9986 ,0.0021 
E00495,-0.7040 ,0.0000 
E00498,0.1829 ,0.0016 
E00499,0.8788 ,0.4283 
E00500,0.6264 ,0.0000 
E00501,-0.5858 ,0.0000 
E00502,-0.4173 ,0.0134 
E00503,-0.1626 ,0.0994 
E00504,0.0237 ,0.9087 
E00505,-0.7491 ,0.0000 
E00506,-1.2538 ,0.0000 
E00507,-0.6632 ,0.8475 
E00511,0.3759 ,0.0000 
E00512,-1.1316 ,0.0000 
E00513,-0.4314 ,0.0000 
E00515,-1.3094 ,0.0000 
E00516,-1.4467 ,0.2557 
E00517,-0.3849 ,0.0004 
E00519,-0.5425 ,0.0000 
E00520,-0.5448 ,0.0000 
